,alpha_0.0a_0.25,alpha_0.1a_0.25,alpha_0.2a_0.25,alpha_0.3a_0.25,alpha_0.4a_0.25,alpha_0.5a_0.25,alpha_0.6a_0.25,alpha_0.7a_0.25,alpha_0.8a_0.25,alpha_0.9a_0.25,alpha_1.0a_0.25,alpha_0.0a_0.33,alpha_0.1a_0.33,alpha_0.2a_0.33,alpha_0.3a_0.33,alpha_0.4a_0.33,alpha_0.5a_0.33,alpha_0.6a_0.33,alpha_0.7a_0.33,alpha_0.8a_0.33,alpha_0.9a_0.33,alpha_1.0a_0.33,alpha_0.0a_0.5,alpha_0.1a_0.5,alpha_0.2a_0.5,alpha_0.3a_0.5,alpha_0.4a_0.5,alpha_0.5a_0.5,alpha_0.6a_0.5,alpha_0.7a_0.5,alpha_0.8a_0.5,alpha_0.9a_0.5,alpha_1.0a_0.5,alpha_0.0a_1,alpha_0.1a_1,alpha_0.2a_1,alpha_0.3a_1,alpha_0.4a_1,alpha_0.5a_1,alpha_0.6a_1,alpha_0.7a_1,alpha_0.8a_1,alpha_0.9a_1,alpha_1.0a_1,alpha_0.0a_2,alpha_0.1a_2,alpha_0.2a_2,alpha_0.3a_2,alpha_0.4a_2,alpha_0.5a_2,alpha_0.6a_2,alpha_0.7a_2,alpha_0.8a_2,alpha_0.9a_2,alpha_1.0a_2,alpha_0.0a_3,alpha_0.1a_3,alpha_0.2a_3,alpha_0.3a_3,alpha_0.4a_3,alpha_0.5a_3,alpha_0.6a_3,alpha_0.7a_3,alpha_0.8a_3,alpha_0.9a_3,alpha_1.0a_3,alpha_0.0a_4,alpha_0.1a_4,alpha_0.2a_4,alpha_0.3a_4,alpha_0.4a_4,alpha_0.5a_4,alpha_0.6a_4,alpha_0.7a_4,alpha_0.8a_4,alpha_0.9a_4,alpha_1.0a_4
k,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,7.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,7.0,6.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,6.0,8.0,6.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,11.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,6.0
Silhouette,0.8687862820259157,0.8693269090424313,0.8690953084844204,0.8688832446207514,0.8800212979984772,0.8860551838822388,0.9000675089793511,0.9199040185597009,0.9393774524663414,0.9571569331992946,0.9706977990170204,0.828592124277881,0.8295778963977127,0.8298829761064827,0.8404591013785954,0.8516888585967833,0.8663496078815671,0.8826724110451651,0.9011548277627408,0.9217166017623133,0.9429455712621239,0.9612693250932294,0.7469595882846015,0.7504109122655859,0.7733038401881772,0.8066618051281996,0.8221330979907772,0.8331177103013454,0.8457172316471806,0.8809285812056097,0.9069520348878405,0.9243605315346737,0.9446523719584652,0.6191801314699119,0.6341513422678186,0.6806580976461312,0.7411069550820696,0.7510087583270195,0.7787316800401366,0.83931564947283,0.8857162799442281,0.9213076858448035,0.9482225128047145,0.9730933735033122,0.566159784327474,0.5607834396853646,0.6016111335526734,0.6639042279922106,0.681780103039996,0.7437054327850839,0.8169068092104341,0.8737381955882506,0.9181627547615125,0.9529316691587255,0.9871128918252786,0.6420666376207664,0.6063461220902352,0.6307506921260349,0.6772211465394867,0.6780944915561208,0.7243316899545597,0.8037334013550115,0.8658981187771606,0.9147771175599705,0.953286180523827,0.9899787197837323,0.7016522551898723,0.6591250964910448,0.678598884334696,0.7223693630066695,0.7211464458119874,0.717756316407562,0.796440479237474,0.8615714049568522,0.9129344485408426,0.9534996501418969,0.9920695189167001
Davies-Bouldin,0.24947802568375774,0.22200283382383043,0.24976714341427173,0.3245465321302465,0.37272192016292244,0.35615844033129146,0.3466670770083343,0.278827926008954,0.2227322079336127,0.1819909095716022,0.16196053209997713,0.2750136705378836,0.28679450619447727,0.31744636950369204,0.40172614140060164,0.40230308403796267,0.3998051297693178,0.3365137395872967,0.2816285850584312,0.2359544254561308,0.20078644946401408,0.1810163899575572,0.6598083899882753,0.6797294196865888,0.5545158073878165,0.509988453655484,0.45105057271453053,0.39277766518298796,0.3502546795975547,0.17509030067899953,0.1356987676873054,0.2528094221714005,0.33159065709800434,0.5662570912629395,0.5490507252369242,0.5167912123368926,0.516649329628917,0.5105268033884917,0.3424577729263181,0.239865747613064,0.16647288036046448,0.11181329358822345,0.07226622806494729,0.34934395692685277,0.5831703737984251,0.5835667870076373,0.620304580317478,0.5676229833740987,0.48605451310010056,0.4047288227742847,0.2781669792046729,0.18596029022838675,0.11623456142355428,0.0638248494889981,0.20389986642653635,0.4935316641877594,0.5546259205075933,0.568709997549702,0.47636915752888676,0.5237118060520153,0.4451739351787387,0.304512551716259,0.20168346756573993,0.12336652743844428,0.06363732785143587,0.25410827830141725,0.4160033953030179,0.4838755069686971,0.4626375457832028,0.420191336445459,0.45034153110450326,0.5138422085018781,0.32159136903028157,0.2120598329216698,0.12858615185874225,0.06450520821635128,0.28812262817882167
