,alpha_0.0a_0.25,alpha_0.1a_0.25,alpha_0.2a_0.25,alpha_0.3a_0.25,alpha_0.4a_0.25,alpha_0.5a_0.25,alpha_0.6a_0.25,alpha_0.7a_0.25,alpha_0.8a_0.25,alpha_0.9a_0.25,alpha_1.0a_0.25,alpha_0.0a_0.33,alpha_0.1a_0.33,alpha_0.2a_0.33,alpha_0.3a_0.33,alpha_0.4a_0.33,alpha_0.5a_0.33,alpha_0.6a_0.33,alpha_0.7a_0.33,alpha_0.8a_0.33,alpha_0.9a_0.33,alpha_1.0a_0.33,alpha_0.0a_0.5,alpha_0.1a_0.5,alpha_0.2a_0.5,alpha_0.3a_0.5,alpha_0.4a_0.5,alpha_0.5a_0.5,alpha_0.6a_0.5,alpha_0.7a_0.5,alpha_0.8a_0.5,alpha_0.9a_0.5,alpha_1.0a_0.5,alpha_0.0a_1,alpha_0.1a_1,alpha_0.2a_1,alpha_0.3a_1,alpha_0.4a_1,alpha_0.5a_1,alpha_0.6a_1,alpha_0.7a_1,alpha_0.8a_1,alpha_0.9a_1,alpha_1.0a_1,alpha_0.0a_2,alpha_0.1a_2,alpha_0.2a_2,alpha_0.3a_2,alpha_0.4a_2,alpha_0.5a_2,alpha_0.6a_2,alpha_0.7a_2,alpha_0.8a_2,alpha_0.9a_2,alpha_1.0a_2,alpha_0.0a_3,alpha_0.1a_3,alpha_0.2a_3,alpha_0.3a_3,alpha_0.4a_3,alpha_0.5a_3,alpha_0.6a_3,alpha_0.7a_3,alpha_0.8a_3,alpha_0.9a_3,alpha_1.0a_3,alpha_0.0a_4,alpha_0.1a_4,alpha_0.2a_4,alpha_0.3a_4,alpha_0.4a_4,alpha_0.5a_4,alpha_0.6a_4,alpha_0.7a_4,alpha_0.8a_4,alpha_0.9a_4,alpha_1.0a_4
k,7.0,7.0,7.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,6.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,10.0,6.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0
Silhouette,0.8561901504466073,0.8550366383339524,0.8511821920710216,0.8457823280991229,0.8565903050124851,0.8616739868604266,0.8828010088720162,0.9049527794508938,0.9274128737847714,0.9478717574396174,0.9640752119548026,0.7810331700106165,0.7835837293313356,0.798507645661719,0.8157102314176289,0.8327552638284805,0.8490505277996645,0.8651767525812797,0.8853350545778187,0.9085816533025789,0.9323434741175203,0.9530870741496198,0.7306514483264529,0.7358650627225036,0.7535809296444064,0.7910217678060096,0.8075486761533223,0.8146360778544313,0.8311991270718084,0.8711517739496176,0.8987816846255954,0.9160240809223501,0.9332820461672561,0.6557969918408395,0.6634216691517129,0.6934574138905277,0.7451951393044034,0.749113218316542,0.7815985710358191,0.8407020440454754,0.8899778278206208,0.9276770651626837,0.9557689037817997,0.9726738584371385,0.6066948965086484,0.6088202169290862,0.6403347188407713,0.6880035798194504,0.708526686752688,0.7540835931586878,0.8264686197449581,0.8836807670127105,0.9286763765254396,0.9641547573249881,0.991372269573885,0.6503812015222886,0.6371812872330692,0.6551126351799599,0.6986542023370448,0.7082397284052862,0.7391954673581205,0.8159413867366194,0.8771566538021552,0.9256464658921875,0.9642096849544978,0.9948046147935683,0.6994252657020966,0.6771712406603155,0.6926621728866823,0.7134979913526754,0.7217086955840033,0.7306342793669035,0.809717896810819,0.8731548834660529,0.9235897969412139,0.9638183295295136,0.996226082851853
Davies-Bouldin,0.17335658390226247,0.18465232172788948,0.21436137434189087,0.2784536032296467,0.37177919742308,0.38845414947933543,0.32904281436966243,0.27321905531077006,0.2243946909314415,0.18937713991894004,0.17157126494634345,0.37851979090579224,0.5591704404121289,0.34032777330764796,0.3957909910030239,0.43767562074589894,0.37411719517655717,0.31978011408403884,0.2787881711060507,0.23914769815147197,0.20902813455277408,0.1918295536517297,0.6061206724143168,0.6107662257711752,0.5407966039528815,0.4803609357691614,0.4115177033634658,0.36618280084860383,0.26114733421419534,0.19703024377556114,0.15562431135193414,0.1329272651096806,0.3374223018769224,0.5097917357547609,0.5076612393374988,0.5297872585417749,0.4274834433450321,0.42926504281452715,0.3358593092352445,0.24667844701674466,0.16656143744415447,0.10686728289728567,0.0640544468265227,0.04349111525543396,0.5041433509111799,0.5097048513639946,0.512648813450928,0.4700092363090597,0.40130397617449187,0.3978775164991784,0.2735949166957981,0.17984992651407955,0.10791059733247428,0.05192160468546015,0.01325295644277186,0.4553888926932392,0.47769194991262076,0.548689392796412,0.49309791118153656,0.4452535232126234,0.42908257839806113,0.29477710668508694,0.19311824252713497,0.11480474028296121,0.05334598722224052,0.22373331243122724,0.3950473376681819,0.43351368872118917,0.4538044300881337,0.4852008589363828,0.4702603364490763,0.449510662114078,0.308775338115378,0.2020651873490822,0.11975340921105436,0.05502464921507075,0.25969931108476446
