,RT_war,prop_war_RTs,frequency_weeks,nb_mentors_prorussia,nb_mentors_proukraine,Betweenness_centrality,Closeness_centrality,PageRank
S195U,369,0.0191728151304167,0.8888888888888888,5.0,0.0,0.0,0.34125920964501,0.0008025661659274
S385U,368,0.0752556237218814,0.925925925925926,5.0,0.0,0.0,0.3419463087248322,0.0007694209226501
S179U,367,0.0282351130943222,1.0,7.0,0.0,0.0015826090153925,0.3426361802286483,0.0007636191926184
S128U,359,0.1055261610817166,1.0,3.0,0.0,0.0,0.3405748663101604,0.0007486341034508
S109U,358,0.0156584875125749,0.925925925925926,7.0,2.0,0.0079154866926862,0.4833965844402277,0.0008053566458505
S85U,358,0.2753846153846154,0.6666666666666666,3.0,0.0,0.0,0.3405748663101604,0.0007429190328969
S34U,352,0.4518613607188703,0.7777777777777778,1.0,0.0,0.0,0.3336607727570399,0.0007318102687608
S496U,348,0.0065050376656634,0.8888888888888888,8.0,0.0,0.0,0.3458927359131025,0.0007574020340954
S71U,344,0.048718311853845,0.9629629629629628,4.0,0.0,0.0004802841763823,0.3426361802286483,0.0007253932291921
S2U,344,0.0078381334305504,1.0,7.0,1.0,0.0,0.4373390557939914,0.0008204094797036
S205U,343,0.0641721234798877,1.0,4.0,0.0,0.0,0.3408026755852842,0.0007223246473225
S197U,342,0.0061503048177387,0.925925925925926,8.0,1.0,0.000215224462486,0.4811142587346553,0.0007764740436814
S51U,338,0.005790348277457,0.9629629629629628,9.0,1.0,0.0015605212164348,0.4829383886255924,0.0007772296450437
S272U,338,0.0135519826791227,0.9629629629629628,9.0,1.0,0.001911147117603,0.4824810606060606,0.0007709617616276
S209U,336,0.0164948453608247,0.9629629629629628,8.0,2.0,0.0086547290178478,0.4917953667953668,0.0007360805793849
S248U,336,0.0723514211886304,1.0,3.0,0.0,0.0,0.3383134130146082,0.0007097838982008
S452U,335,0.0118065834919292,1.0,8.0,1.0,0.0,0.4820245979186376,0.0007524668145435
S178U,334,0.0122245809237976,0.9629629629629628,6.0,1.0,0.0,0.4811142587346553,0.0007347148796747
S75U,332,0.0196892420827897,1.0,5.0,0.0,0.0,0.3419463087248322,0.0007196477961361
S103U,331,0.0272114436040776,0.925925925925926,5.0,0.0,0.0,0.3419463087248322,0.000706056598186
S166U,330,0.0168823860438942,1.0,7.0,0.0,0.0,0.3433288409703504,0.0007290134088426
