,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,cluster_kmeans
S169U,-0.6,-1.0,-0.8415606121037806,-0.6912880320607828,-0.659923809406326,-0.656280678021806,-0.653677538007505,-0.6425739717132805,-0.5712164336329433,-0.5970189819385598,-0.6334662728899897,-0.6264651722156289,-0.6315128603540774,-0.6237175104242633,-0.6558088978155301,3
S181U,-0.8530805229909972,-0.8390636839488097,-0.6677110916798022,-0.5683542130069048,-0.5618540385018896,-0.5693219541326595,-0.5997777407433784,-0.6262020879703123,-0.6582847114091541,-0.6824847273329067,-0.7075166648601322,-0.7170090456565937,-0.7276846861988066,-0.7412704070226095,-0.7569285743392931,3
S182U,-0.1851857395910737,-0.5851857395910738,-0.5390621652200681,-0.5575585869563029,-0.5918490762772226,-0.5516063331671706,-0.5877027886234331,-0.6301101665273483,-0.6483162845914899,-0.6711186981064061,-0.6719011492803125,-0.6863625017374478,-0.7040499881783174,-0.7174047836028894,-0.742810829798972,3
S199U,-1.0,-0.8098023977547324,-0.5126353568782038,-0.5036880807638549,-0.5458807543796828,-0.5692293314324818,-0.5898170809062421,-0.5965460859966918,-0.618411321595824,-0.6382134464707804,-0.6610614540943218,-0.6788455597352591,-0.6924948870516537,-0.7072394508882281,-0.7272212005194103,3
S201U,-0.8147468711159052,-0.6671729148014636,-0.6633469796498137,-0.5949711798147098,-0.6906687339240228,-0.6855727411101571,-0.6223003789088103,-0.6541527082028993,-0.6223347959298642,-0.6205641221742701,-0.6189878741363759,-0.6384401616992783,-0.6204533525900773,-0.6326607072070697,-0.6263473572734719,3
S209U,-1.0,-0.901810470263879,-0.8533418982171114,-0.7352341867961302,-0.7216586238321377,-0.660102444968639,-0.6798997552048148,-0.6992559501258199,-0.6645071255688584,-0.6671661837717723,-0.6785174985985312,-0.694170736003114,-0.7092408754622133,-0.7223760590277376,-0.7327489166683457,3
S261U,-0.4991341742671085,-0.5220840831204443,-0.5624535787099251,-0.597372147146531,-0.5300754030421571,-0.5659191015935063,-0.5706937769843797,-0.5768101409988701,-0.5818347190215154,-0.6096803125161682,-0.6319620954459348,-0.6447977629284495,-0.6613613171314753,-0.6698834601133468,-0.7023801877025097,3
S273U,-1.0,-0.8293144416466403,-0.6892774931025909,-0.671650142847383,-0.6040364477804805,-0.6378016616504265,-0.7004098959322491,-0.6790700614476668,-0.6140892530645277,-0.6402063017915764,-0.6850881119082479,-0.6843921222797932,-0.6404312516687676,-0.6310729008305939,-0.5951373398699069,3
S281U,-0.6,-0.6,-1.0,-0.6952705018363495,-0.6824390724338198,-0.6090759232598989,-0.6361659181543411,-0.5953065344510108,-0.5953062959242521,-0.585037209284451,-0.6121708756511398,-0.6362908473801601,-0.6622961586835202,-0.6833366630665242,-0.6986697891608826,3
S282U,-1.0,-0.8372174534007835,-0.8300529853914618,-0.6818658698913971,-0.5781938552022013,-0.5753618853304288,-0.5907823148825256,-0.5781580098084576,-0.5800758510072724,-0.6002089544021728,-0.644434803609532,-0.6851758683989059,-0.7271210290228834,-0.7382193133466601,-0.7572433357563957,3
