,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,cluster_kmeans
S1V,0.5477380281517048,0.5932724504245408,0.6588509073753492,0.6812788770264073,0.6305465857283292,0.7247383628456399,0.7386426224483307,0.6981888497497093,0.76121223525846,0.812924746717429,0.8550695867762084,0.8381212405414826,0.7532864860607613,0.7160364362824212,0.7269630266611012,1
S8V,0.641225624495708,0.6315078840624293,0.6434636111000297,0.5541397187043722,0.6158055574163386,0.6570246596337,0.6499459670102541,0.6675638768418362,0.7010663837985391,0.7356251135495431,0.7419136826075645,0.7508858872809164,0.7551018808670709,0.7563719406330963,0.7828127955982875,1
S14V,0.7325346146681093,0.7002554072249778,0.6116999362392778,0.6635361354816842,0.6634614867027345,0.6926792339585475,0.7068092863963192,0.7228974044980875,0.7404857581503388,0.7306344317611644,0.7414324440047488,0.7441231765851948,0.7326924269793437,0.706189480869704,0.6055436584142333,1
S20V,0.4574719884276672,0.40718010440625485,0.356829162381703,0.36044430989499465,0.43711132123065377,0.5053021149546665,0.4721271661579588,0.5317129357380896,0.5912663791665349,0.6409683578794554,0.677044882654763,0.7136459619448977,0.7209875366901167,0.7422981371919055,0.7640786536264157,1
S26V,0.5717146273869804,0.5421816530210908,0.4648644616684569,0.46406459782413734,0.4814550658154084,0.46278685675529896,0.4529843240567797,0.39095837576508014,0.3326348376635567,0.35792086957523744,0.40948408360784555,0.48827499679681863,0.4530355822414097,0.5266108906459888,0.619162791206897,1
S56V,0.6523896825839159,0.6429728502633876,0.7123495436120285,0.7710179535662405,0.8200357082752276,0.860343041871994,0.8307159358992516,0.8301590178862661,0.8644942551048594,0.8406844869816963,0.8222180757440969,0.8080177425174178,0.8067920794227923,0.7892846732401427,0.8036175621227388,1
S60V,0.7537778821422101,0.7307437366559553,0.6398822777931227,0.6947077099068896,0.7568323780361199,0.8071050992188697,-0.40948004033256563,-0.5984490849766468,0.5035779757639232,0.5440329121245417,0.6560534397766455,0.7275696634550166,0.7819083840292846,0.8259317746495914,0.8617554967437182,1
S62V,0.31513381700712484,0.33108021704974033,-0.3490060883434182,0.38332699467447207,0.4527658375273092,0.40768118054941804,-0.30687914075772027,0.5199473955648886,0.482935069550003,-0.312710365253452,0.253116304862097,0.3241187305008008,-0.4541698678782002,-0.5566710892289132,-0.6241141501186037,0
S66V,0.7855868640943297,0.7055498527587849,0.6636411500743444,0.5924990918044701,0.5909269127863382,0.6367081082731307,0.7104999079497537,0.7714191785331013,0.8201949976629128,0.758290673544112,0.7487914997050142,0.7784254309960635,0.7788645849195622,0.7813367662642023,0.7794449039810114,1
S93V,0.6674125428390597,0.6068653754620257,0.6283920677177055,0.654049249653687,0.6773406529703859,0.73207030358713,0.7863406740240929,0.830925127672939,0.7985015537355835,0.8106565637392784,0.80850773502434,0.8136783849502196,0.7945624900879251,0.8275605232412305,0.8292899561376377,1
S157V,0.6251957415472316,0.5163255635528823,0.43465076431752725,0.44146645796188755,0.4323536131451487,0.3737536865813161,-0.3703982238790674,-0.5178169878118863,-0.4696768406211166,-0.486540508348648,-0.44958502462805344,0.2564137296698746,0.2591660437296647,0.25050150141620575,0.2724990528558157,0
S177V,0.5205315737538959,0.5334859824351134,0.5659722391384538,0.6285033865574399,0.6734081958645489,0.7133241024312833,0.7309969065022359,0.7514162260993051,0.7951593287302549,0.8354579889403344,0.7861199050830854,0.7736383811693333,0.7797620994969998,0.7894330328724624,0.8087423882456165,1
S188V,0.5597303453343114,0.5377872167343994,0.515703208769883,0.551558418036058,0.564452339684984,0.6169895203672277,0.6094915279485855,0.6432945373353032,0.4830354033287913,0.41718108943862875,-0.3957604192953015,-0.5040261034169278,-0.5862062050388644,-0.6620454732137809,-0.7275082968346802,0
S204V,0.643964373705384,0.603813934652347,0.5621407427213038,0.6122772466367162,0.6820777497931942,0.7130265272957905,0.6767404794569409,0.7096300354309119,0.7614414638299029,0.7631650584819555,0.7905577466226459,0.8086659781256237,0.840992275615754,0.8711534618331421,0.874230299312354,1
